size=1, num_iter=1e+06,,
18,-756.2,46,1298
19,-757.16,32,1298
20,-755.48,68,1298
21,-759.24,62,1298
22,-771.24,77,1298
23,-748.44,39,1298
24,-765.16,34,1298
25,-748.28,65,1298
26,-769.24,73,1298
27,-768.12,32,1298
28,-746.52,24,1298
28,-746.52,31,1298
29,-744.2,18,1298
29,-744.2,21,1298
30,-759.48,46,1298
31,-748.2,20,1298
32,-763.24,86,1298
33,-763.24,51,1298
34,-760.12,8,1298
34,-760.12,10,1298
35,-756.2,47,1298
36,-754.28,69,1298
37,-761.48,62,1298
38,-735.24,23,1298
38,-735.24,19,1298
39,-737.32,30,1298
39,-737.32,31,1298
40,-739.32,23,1298
40,-739.32,29,1298
41,-749.16,36,1298
42,-773.16,22,1298
42,-773.16,23,1298
43,-746.28,43,1298
44,-749.24,76,1298
45,-746.52,44,1298
46,-742.28,28,1298
47,-747.48,47,1298
48,-742.2,28,1298
49,-740.28,75,1298
50,-752.2,40,1298
51,-748.2,19,1298
51,-748.2,12,1298
52,-749.24,27,1298
53,-748.2,41,1298
54,-757.32,50,1298
55,-742.2,22,1298
55,-742.2,16,1298
56,-747.24,35,1298
56,-747.24,31,1298
57,-764.12,28,1298
58,-757.24,70,1298
59,-751.16,50,1298
60,-748.2,60,1298
61,-742.36,35,1298
62,-747.32,16,1298
62,-747.32,16,1298
63,-760.28,26,1298
64,-730.28,28,1298
65,-739.24,38,1298
66,-738.52,42,1298
66,-738.52,38,1298
67,-745.24,21,1298
67,-745.24,24,1298
68,-759.16,42,1298
69,-741.72,83,1298
70,-744.28,52,1298
71,-725.72,35,1298
72,-741.24,42,1298
73,-750.28,29,1298
74,-752.52,86,1298
75,-737.4,57,1298
76,-749.24,15,1298
76,-749.24,38,1298
77,-752.28,76,1298
78,-758.2,41,1298
79,-719.72,25,1298
79,-719.72,30,1298
80,-756.2,59,1298
81,-748.44,52,1298
82,-726.28,13,1298
82,-726.28,20,1298
83,-744.52,43,1298
84,-762.2,65,1298
85,-748.2,51,1298
86,-744.2,21,1298
87,-733.48,44,1299
88,-738.76,47,1298
89,-740.28,55,1298
90,-755.48,40,1298
91,-740.2,21,1298
92,-762.2,57,1298
93,-751.16,22,1298
93,-751.16,17,1298
94,-736.28,39,1298
95,-755.24,37,1298
96,-733.24,43,1298
97,-733.48,42,1298
98,-748.28,24,1298
98,-748.28,32,1298
99,-730.36,28,1298
,,0.3671875,1298
size=3, num_iter=1e+07,,
0,-1270.8,6,2578
1,-1249.04,6,2578
2,-1259.92,5,2578
2,-1259.92,2,2578
3,-1255.04,10,2579
4,-1255.92,2,2578
5,-1260,4,2578
6,-1259.76,3,2578
7,-1211.2,5,2578
8,-1227.28,1,2578
8,-1227.28,3,2578
9,-1238.16,14,2578
10,-1250.88,4,2578
11,-1246.96,3,2578
12,-1222.16,4,2578
13,-1262.8,1,2578
13,-1262.8,4,2578
14,-1257.2,1,2578
15,-1251.12,2,2578
16,-1228.16,10,2578
17,-1253.76,3,2578
18,-1256.8,5,2578
19,-1252.96,1,2578
20,-1247.84,5,2578
21,-1249.92,9,2579
22,-1279.92,9,2578
23,-1242,2,2578
24,-1267.92,4,2578
25,-1244.08,13,2578
26,-1277.84,4,2578
27,-1257.92,3,2578
28,-1234.24,2,2578
29,-1249.92,3,2578
29,-1249.92,3,2578
30,-1256.4,9,2578
31,-1235.92,8,2578
32,-1249.12,21,2578
33,-1258.88,5,2578
34,-1274.72,1,2578
35,-1262.08,6,2579
36,-1252.88,3,2578
36,-1252.88,2,2578
37,-1264.08,3,2578
38,-1234.88,4,2578
39,-1235.28,2,2578
40,-1248,6,2578
40,-1248,3,2578
41,-1263.76,3,2579
42,-1282.08,10,2578
43,-1253.84,1,2578
43,-1253.84,1,2578
44,-1230.88,8,2578
45,-1241.68,9,2578
46,-1233.12,1,2578
47,-1247.12,6,2578
48,-1226.88,8,2579
49,-1234,23,2578
50,-1258.8,2,2578
51,-1248.8,2,2578
52,-1234.8,5,2578
53,-1248.8,5,2578
54,-1240.32,1,2578
55,-1256.96,5,2578
55,-1256.96,2,2578
56,-1254.96,5,2578
56,-1254.96,4,2578
57,-1264.72,4,2579
58,-1250.16,8,2578
59,-1256,5,2579
60,-1246,11,2578
61,-1226,4,2578
62,-1237.12,2,2578
63,-1243.84,6,2578
64,-1220.88,2,2578
65,-1233.76,3,2578
66,-1240.08,7,2578
67,-1233.84,3,2579
68,-1256.8,5,2578
69,-1248.32,7,2578
70,-1236,24,2578
71,-1217.44,2,2578
72,-1215.92,6,2578
73,-1237.92,5,2578
74,-1260.08,11,2578
75,-1238,7,2579
76,-1238.88,5,2578
77,-1249.04,4,2578
78,-1242.8,2,2578
79,-1225.36,12,2578
80,-1246.96,5,2578
81,-1231.12,4,2578
82,-1231.92,4,2578
82,-1231.92,2,2578
83,-1243.12,6,2578
84,-1265.12,13,2578
85,-1238,16,2578
86,-1224.08,3,2578
87,-1231.28,3,2578
88,-1232.08,3,2578
89,-1232.88,2,2579
90,-1248.08,6,2578
91,-1232.8,2,2578
92,-1269.84,6,2578
93,-1238.88,3,2579
94,-1222,4,2578
95,-1263.84,3,2578
95,-1263.84,6,2578
96,-1253.84,8,2578
97,-1231.12,7,2578
98,-1243.92,5,2578
99,-1236.96,9,2578
,,0.066981812,2482.091667
size=3, num_iter=5e+07,,
0,-1270.8,36,12818
1,-1249.04,41,12818
2,-1259.92,16,12818
2,-1259.92,29,12818
3,-1255.04,58,12818
4,-1255.92,26,12818
5,-1260,12,12818
6,-1259.76,33,12818
7,-1211.2,27,12819
8,-1227.28,15,12818
8,-1227.28,13,12818
9,-1238.16,59,12818
10,-1250.88,29,12818
11,-1246.96,24,12819
12,-1222.16,26,12818
13,-1262.8,13,12818
13,-1262.8,12,12818
14,-1257.92,24,12818
15,-1251.12,33,12818
16,-1228.16,19,12818
17,-1253.76,37,12818
18,-1256.8,25,12818
19,-1252.96,31,12818
20,-1247.84,27,12818
21,-1249.92,39,12818
22,-1279.92,64,12818
23,-1242,13,12818
24,-1267.92,42,12819
25,-1244.08,58,12818
26,-1277.84,40,12818
27,-1257.92,29,12818
